name,63,125,250,500,1000,2000,4000,8000
Mauerziegelwand_unverputzt,nan,0.03,0.03,0.03,0.04,0.05,0.06,nan
Mauerwerk_Hohllochziegel,nan,0.11,0.22,0.34,0.35,0.51,0.43,nan
Glattputz,nan,0.02,0.02,0.03,0.03,0.04,0.06,nan
Kalkzementputz,nan,0.03,0.03,0.02,0.04,0.05,0.05,nan
Tapete_auf_Kalkzementputz,nan,0.02,0.03,0.04,0.05,0.07,0.08,nan
Spiegel_vor_der_Wand,nan,0.12,0.1,0.05,0.04,0.02,0.02,nan
Tür_Holz_lackiert,nan,0.1,0.08,0.06,0.05,0.05,0.05,nan
Stuckgips_unverputzter_Beton,nan,0.02,0.02,0.03,0.04,0.05,0.05,nan
Marmor_Fliesen_Klinker,nan,0.01,0.01,0.02,0.02,0.03,0.03,nan
Fenster_Isolierverglasung,nan,0.28,0.2,0.11,0.06,0.03,0.02,nan
Parkett_aufgeklebt,nan,0.04,0.04,0.05,0.06,0.06,0.06,nan
Parkett_Blindboden,nan,0.2,0.15,0.1,0.09,0.06,0.1,nan
Parkett_hohlliegend,nan,0.15,0.08,0.07,0.06,0.06,0.06,nan
Teppich_6mm,nan,0.02,0.04,0.07,0.19,0.29,0.35,nan
Teppich_7_10mm,nan,0.04,0.07,0.14,0.3,0.51,0.78,nan
Nadelfilz_7mm,nan,0.02,0.04,0.12,0.2,0.36,0.57,nan
Teppich_5mm_Filz,nan,0.07,0.21,0.57,0.68,0.81,0.72,nan
PVC_auf_Beton,nan,0.01,0.02,0.01,0.03,0.05,0.05,nan
Linoleum_auf_Beton,nan,0.02,0.02,0.03,0.03,0.04,0.04,nan
Holz_Spanplatte_fest,nan,0.04,0.04,0.05,0.06,0.06,0.06,nan
HFPlatte_kassettiert_ohne_Dämmung,nan,0.22,0.19,0.13,0.07,0.05,0.05,nan
HFPlatte_kass_mit_MWolle,nan,0.63,0.25,0.14,0.08,0.06,0.05,nan
HFPlatte_kass_ohne_Dämmung,nan,0.26,0.15,0.07,0.05,0.05,0.05,nan
Sperrholz_MWolle_120mm,nan,0.77,0.33,0.16,0.08,0.07,0.03,nan
Gipsplatte_25mm,nan,0.27,0.17,0.1,0.09,0.11,0.12,nan
Gipsplatte_kassiert_60mm,nan,0.3,0.1,0.05,0.07,0.09,0.08,nan
Kino_Bildwand,nan,0.1,0.13,0.36,0.31,0.29,0.2,nan
Buehnenoeffnung_Deko,nan,0.4,0.43,0.57,0.7,0.8,0.8,nan
Buecherregal_Bibliothek,nan,0.3,0.39,0.39,0.31,0.29,0.21,nan
Lochsteine,nan,0.1,0.2,0.44,0.55,0.44,0.22,nan
HFPlatte_MWolle_Holzleisten,nan,0.61,0.26,0.19,0.07,0.07,0.03,nan
Mineralplatte_Vlies_200mm,nan,0.5,0.65,0.7,0.85,1.0,1.0,nan
Mineralplatte_fein_genadelt,nan,0.35,0.55,0.65,0.7,0.65,0.6,nan
Mineralplatte_ungenadelt,nan,0.15,0.15,0.1,0.15,0.15,0.1,nan
Metallkassette_gelocht_16p,nan,0.35,0.7,0.85,0.75,0.75,0.75,nan
Recycle_Glaswolle_mit_Tiefton,nan,0.75,0.95,0.95,1.0,1.0,1.0,nan
Recycle_Glaswolle_ohne_Zusatz,nan,0.4,0.85,1.0,0.9,1.0,1.0,nan
Spanndecke_ohne_Vlies,nan,0.09,0.25,0.65,0.8,0.61,0.6,nan
Spanndecke_mit_Vlies,nan,0.28,0.69,1.0,0.89,0.75,0.71,nan
Rasterdecke_8_18_ohne_MW,nan,0.45,0.6,0.7,0.6,0.55,0.65,nan
Rasterdecke_8_18_mit_MW,nan,0.5,0.65,0.7,0.65,0.6,0.7,nan
Rasterdecke_12_25_200mm,nan,0.45,0.5,0.5,0.4,0.35,0.35,nan
Rasterdecke_12_25_65mm,nan,0.4,0.45,0.5,0.45,0.4,0.3,nan
HWL_35mm,nan,0.08,0.17,0.7,0.71,0.64,0.64,nan
HWL_25mm_Hohlraum,nan,0.13,0.42,0.54,0.45,0.7,0.73,nan
Melamin_30mm,nan,0.12,0.31,0.66,0.86,0.87,0.92,nan
Melamin_50mm,nan,0.16,0.56,0.87,0.96,0.97,0.97,nan
MWMatte_ohne_Lochblech,nan,0.11,0.36,0.68,0.88,0.89,0.97,nan
MWMatte_mit_Lochblech,nan,0.11,0.36,0.69,0.95,0.81,0.7,nan
Gips_Rundlochung,nan,0.12,0.28,0.75,0.5,0.38,0.3,nan
Gips_geschlitzt,nan,0.11,0.28,0.66,0.38,0.28,0.3,nan
Metallkassette_20p_Akustikfilz,nan,0.38,0.65,0.59,0.75,0.77,0.61,nan
